qa_id,question,intent
A06,일반휴학은 최대 몇 학기까지 할 수 있나요?,휴학_기간_질문
A07,임신이나 출산 때문에 휴학하면 기간이 얼마나 되나요?,휴학_임신출산_질문
A08,창업 준비 때문에 휴학하고 싶은데 그런 제도가 있나요?,휴학_창업_질문
A09,전과는 몇 학기 때 할 수 있나요?,전과_시기_질문
A10,자퇴하려면 누구 허가를 받아야 하나요?,자퇴_허가_질문
A11,재입학은 최대 몇 번까지 할 수 있나요?,재입학_횟수_질문
A12,편입학은 보통 몇 학년으로 들어오게 되나요?,편입학_학년_질문
A13,다전공을 하고 싶은데 전공을 어떻게 배정받나요?,전공_배정_질문
A14,자율전공학부인데 나중에 전공을 어떻게 정하게 되나요?,전공_배정_질문
A15,휴학 기간 끝난 걸 깜빡하고 복학 신청을 안 하면 어떻게 되나요?,복학_미신청_제적_질문
A16,부전공으로 인정받으려면 몇 학점을 들어야 하나요?,부전공_학점기준_질문
A17,성적경고를 세 번 연속 받으면 어떻게 되나요?,성적경고_제적_질문
A18,휴학 중에도 계절학기 수업을 들을 수 있나요?,휴학_계절학기_질문
A19,유급하면 학교를 그만둬야 하나요?,유급_제적_질문
A20,제가 직접 전공을 새로 설계해서 이수할 수도 있나요?,전공_학생설계_질문
S01,성적이 우수하면 받을 수 있는 장학금이 뭐가 있나요?,장학금_종류_질문
S02,장학금을 받으려면 성적이 얼마나 좋아야 하나요?,장학금_성적기준_질문
S03,형제가 같이 이 학교를 다니면 장학금 혜택이 있나요?,장학금_형제자매_질문
S04,국가장학금이랑 학교 장학금을 같이 받을 수 있나요?,장학금_중복수혜_질문
S05,장학금 받다가 휴학하면 그 장학금은 어떻게 되나요?,장학금_휴학영향_질문
S06,외국인 학생도 받을 수 있는 장학금이 있나요?,장학금_외국인_질문
S07,가정형편이 어려운 학생을 위한 장학금이 있나요?,장학금_가계곤란_질문
S08,근로장학은 어떻게 신청하나요?,장학금_근로_질문
S09,해외연수를 가면 지원받을 수 있는 장학금이 있나요?,장학금_해외연수_질문
S10,부모님 두 분 다 이 학교를 졸업하셨는데 저도 장학금 혜택이 있나요?,장학금_동문자녀_질문
S11,창업하면 받을 수 있는 장학금이 있나요?,장학금_창업_질문
S12,국가유공자 자녀인데 장학금 혜택이 있나요?,장학금_국가유공자_질문
S13,장학금은 어떻게 신청하나요?,장학금_신청방법_질문
S14,지난 학기 성적으로 이번 학기에 장학금을 신청할 수 있나요?,장학금_소급신청_질문
S15,장학금 두 개를 동시에 받으면 등록금보다 많이 받을 수도 있나요?,장학금_중복수혜_질문
S16,편입생인데 장학금 받을 수 있는 학점 기준이 재학생이랑 다른가요?,장학금_편입생기준_질문
S17,계절학기에서 딴 성적도 장학금 기준 학점에 들어가나요?,장학금_계절학기제외_질문
S18,징계받은 적 있는 학생도 장학금을 받을 수 있나요?,장학금_징계영향_질문
S19,시험에 합격하면 주는 장학금도 있나요?,장학금_고시장학_질문
S20,등록금을 한 번에 못 내서 나눠 내기로 했는데 이것도 장학이랑 관련 있나요?,장학금_분할납부_질문
L01,학생증을 잃어버렸는데 어떻게 재발급받나요?,학생증_재발급_질문
L02,동아리를 만들려면 어떻게 해야 하나요?,동아리_설립절차_질문
L03,학교 안에서 집회를 하려면 허가가 필요한가요?,집회_허가_질문
L04,동아리 회장이 되려면 자격 조건이 있나요?,동아리_임원자격_질문
L05,기숙사(생활관) 신청은 어떻게 하나요?,생활관_신청_질문
L06,학생증 없이 도서관을 이용할 수 있나요?,학생증_시설이용_질문
L07,동아리로 등록하려면 회원이 몇 명 이상 있어야 하나요?,동아리_회원수기준_질문
L08,교내 게시판에 포스터를 붙이려면 언제부터 붙일 수 있나요?,홍보물_게시기간_질문
L09,학생회비는 꼭 내야 하나요?,학생회비_납부_질문
L10,학교 명예를 높인 학생에게 주는 상이 있나요?,표창_종류_질문
L11,동아리 활동에 쓸 예산은 누구 허락을 받아야 쓸 수 있나요?,동아리_예산승인_질문
L12,징계를 받으면 동아리 임원을 할 수 없나요?,징계_임원자격_질문
L13,학교 밖에서 행사를 하려면 며칠 전에 신청해야 하나요?,행사_교외신청기한_질문
L14,다른 학교와 같이 행사를 하려면 언제까지 신청해야 하나요?,행사_공동주최신청기한_질문
L15,표창을 받으려면 어떤 자격이 필요한가요?,표창_자격_질문
L16,술 마시고 시끄럽게 하다 걸리면 어떻게 되나요?,징계_사유_질문
L17,정학당하면 몇 개월 동안 학교에 못 나오나요?,징계_기간_질문
L18,동아리 활동을 하면 성적에 도움이 되는 부분이 있나요?,동아리_학점혜택_질문
L19,새내기인데 동아리에 가입 안 하면 불이익이 있나요?,동아리_가입의무_질문
L20,학생회장 선거에 나가려면 징계받은 적이 없어야 하나요?,학생회장_출마자격_질문
O01,이 학교랑 다른 대학교 중에 등록금이 어디가 더 싼가요?,타대학_비교_질문
O02,제 성적표를 지금 바로 확인할 수 있나요?,개인정보_성적조회_질문
O03,진로를 정하는 중인데 어떤 전공이 취업이 잘 되나요?,진로상담_질문
O04,기숙사비는 한 학기에 얼마인가요?,생활관_비용_질문
O05,제가 지금 장학금 받을 자격이 되는지 계산해서 알려주실 수 있나요?,개인정보_장학자격조회_질문
O06,오늘 학생식당 메뉴가 뭔가요?,잡담_식당메뉴_질문
O07,캠퍼스 셔틀버스 시간표 좀 알려주세요.,잡담_셔틀버스_질문
O08,"다음 학기 등록금이 오르나요, 내리나요?",타대학_등록금변동_질문
O09,이 학교 다니면 취업이 잘 되나요?,진로상담_취업_질문
O10,제 지도교수님 연락처 좀 알려주세요.,개인정보_교수연락처_질문
O11,심리 상담을 받고 싶은데 어디로 가야 하나요?,심리상담_안내요청
O12,저 지금 휴학 중인데 제 휴학이 언제 끝나는지 확인해주세요.,개인정보_휴학조회_질문
O13,다른 학교에서 편입을 준비 중인데 그 학교 학점 인정 기준도 알려줄 수 있나요?,타대학_학점인정기준_질문
O14,자퇴하면 나중에 법적으로 문제가 생기나요?,법률상담_질문
O15,생활관(기숙사) 배정 기준이 어떻게 되나요?,생활관_배정기준_질문
O16,장학금 신청서 양식 파일을 지금 다운로드할 수 있게 보내주실 수 있나요?,문서발급_요청
O17,제 성적경고 이력이 몇 번인지 확인해주세요.,개인정보_성적경고조회_질문
O18,이번에 등록 안 하면 저 제적되나요? 제 학번으로 확인해주실 수 있나요?,개인정보_제적여부조회_질문
O19,총장님 이메일 주소 좀 알려주세요.,개인정보_연락처요청
O20,졸업논문 대신 쓸 수 있는 다른 학교 사례를 좀 보내주세요.,타대학_사례요청
